season,team,P1_name,P1_salary,P2_name,P2_salary,P3_name,P3_salary,P4_name,P4_salary,P5_name,P5_salary,P6_name,P6_salary,P7_name,P7_salary,P8_name,P8_salary,P9_name,P9_salary,P10_name,P10_salary,P11_name,P11_salary,P12_name,P12_salary,P13_name,P13_salary,P14_name,P14_salary,P15_name,P15_salary
2021,Atlanta Hawks,John Collins,23000000.0,Danilo Gallinari,20475000.0,B. Bogdanovic,18000000.0,Clint Capela,17603448.0,Delon Wright,8526316.0,Trae Young,8326471.0,De'Andre Hunter,7775400.0,Onyeka Okongwu,6104280.0,Kevin Knox II,5845978.0,Louis Williams,5000000.0,Kevin Huerter,4253357.0,Gorgui Dieng,4000000.0,Jalen Johnson,2659680.0,T. Luwawu-Cabarrot,1939350.0,Skylar Mays,510907.0
2021,Boston Celtics,Jayson Tatum,28103500.0,Al Horford,27000000.0,Jaylen Brown,26758928.0,Derrick White,15678571.0,Marcus Smart,13839285.0,Daniel Theis,8280351.0,Robert Williams,3661976.0,Aaron Nesmith,3631200.0,Grant Williams,2617800.0,Payton Pritchard,2137440.0,Jabari Parker,1168286.0,Sam Hauser,619498.0,Luke Kornet,606702.0,Brodric Thomas,462629.0,Nik Stauskas,423536.0
2021,Brooklyn Nets,Kevin Durant,42018900.0,Kyrie Irving,35328700.0,Ben Simmons,33003936.0,Joe Harris,17357143.0,Seth Curry,8207518.0,Patrick Mills,5890000.0,Bruce Brown,4736102.0,Jevon Carter,3650000.0,L. Aldridge,2641691.0,Blake Griffin,2641691.0,James Johnson,2641691.0,Andre Drummond,2401537.0,Edmond Sumner,2320000.0,Jahlil Okafor,2130023.0,Cam Thomas,2036280.0
2021,Charlotte Hornets,Gordon Hayward,29925000.0,Terry Rozier,17905263.0,Kelly Oubre Jr.,12000000.0,Montrezl Harrell,9720900.0,Mason Plumlee,9248333.0,Nicolas Batum,8856969.0,LaMelo Ball,8231760.0,Miles Bridges,5421493.0,PJ Washington,4215120.0,James Bouknight,4154400.0,Kai Jones,2770560.0,Wesley Iwundu,1824003.0,Jalen McDaniels,1782621.0,Cody Martin,1782621.0,Nick Richards,1517981.0
2021,Chicago Bulls,DeMar DeRozan,26000000.0,Nikola Vucevic,24000000.0,Zach LaVine,19500000.0,Lonzo Ball,18604651.0,D. Jones,9720900.0,Alex Caruso,8600000.0,Patrick Williams,7422000.0,Coby White,5837760.0,Troy Brown Jr.,5170564.0,Tony Bradley,1789256.0,Matt Thomas,1669178.0,Javonte Green,1669178.0,Alfonzo McKinnie,1090007.0,Tristan Thompson,1000000.0,Ayo Dosunmu,925258.0
2021,Cleveland Cavaliers,Kevin Love,31258256.0,Jarrett Allen,20000000.0,Caris LeVert,17500000.0,Lauri Markkanen,15690909.0,Cedi Osman,8133334.0,Evan Mobley,8075160.0,Darius Garland,7040880.0,Isaac Okoro,6720720.0,Collin Sexton,6349671.0,Rajon Rondo,2641691.0,Ed Davis,2641691.0,Dylan Windler,2239200.0,Dean Wade,1782621.0,Kevin Pangos,1569178.0,Lamar Stevens,1517981.0
2021,Dallas Mavericks,Tim Hardaway Jr.,21306816.0,S. Dinwiddie,19314284.0,Davis Bertans,16000000.0,Dwight Powell,11080125.0,Luka Doncic,10174391.0,R. Bullock,9536000.0,Maxi Kleber,8750000.0,W. Cauley-Stein,4100000.0,D. Finney-Smith,4000000.0,Boban Marjanovic,3500000.0,Trey Burke,3150000.0,Sterling Brown,3000000.0,Josh Green,2957520.0,Jalen Brunson,1802057.0,Frank Ntilikina,1789256.0
2021,Denver Nuggets,Nikola Jokic,31044906.0,Jamal Murray,29467800.0,Aaron Gordon,16409091.0,Will Barton,15625000.0,Monte Morris,8449074.0,JaMychal Green,8200000.0,M. Porter,5258735.0,Bryn Forbes,4500000.0,Jeff Green,4500000.0,Facundo Campazzo,3100000.0,Zeke Nnaji,2498760.0,Austin Rivers,2401537.0,Bones Hyland,2096880.0,Vlatko Cancar,1782621.0,DeMarcus Cousins,1138659.0
2021,Detroit Pistons,Blake Griffin,29764126.0,Jerami Grant,20002500.0,Kelly Olynyk,12195122.0,M. Bagley,11312114.0,Cade Cunningham,10050120.0,DeAndre Jordan,7875533.0,Cory Joseph,7310000.0,Killian Hayes,5572680.0,Hamidou Diallo,5200000.0,Isaiah Stewart,3277080.0,Frank Jackson,3000000.0,Dewayne Dedmon,2866667.0,Saddiq Bey,2824320.0,Rodney McGruder,1939350.0,D. Sirvydis,1603559.0
2021,Golden State Warriors,Stephen Curry,45780966.0,Klay Thompson,37980720.0,Andrew Wiggins,31579390.0,Draymond Green,24026712.0,James Wiseman,9166800.0,Jonathan Kuminga,5466360.0,Kevon Looney,5178572.0,Moses Moody,3562200.0,Andre Iguodala,2641691.0,Otto Porter Jr.,2389641.0,Jordan Poole,2161440.0,Nemanja Bjelica,2089448.0,Damion Lee,1910860.0,J. Toscano-Anderson,1701593.0,Gary Payton II,1669178.0
